id,name
1169,Daniel Fuzato
1783,Jordan Veretout
1800,Federico Fazio
1817,Rick Karsdorp
1819,Lorenzo Pellegrini
1823,Stephan El Shaarawy
1827,Alessio Riccardi
1837,Gianluca Mancini
1842,Leonardo Spinazzola
1844,Bryan Cristante
1996,Davide Santon
2013,Nicolò Zaniolo
2099,Amadou Diawara
2151,Marash Kumbulla
3239,Rui Patrício
7795,Henrikh Mkhitaryan
7896,Chris Smalling
7985,Tammy Abraham
28426,Matías Viña
32510,Carles Pérez
33150,Gonzalo Villar
49307,Eldor Shomurodov
83868,Bryan Reynolds
133512,Riccardo Calafiori
133589,Ebrima Darboe
150942,Pietro Boer
152528,Nicola Zalewski
156762,Edoardo Bove
170388,Steven Nzonzi
57,Luis Muriel
1767,Marco Sportiello
1830,Francesco Rossi
1832,Rafael Tolói
1835,Hans Hateboer
1838,José Luis Palomino
1841,Remo Freuler
1845,Josip Iličić
1847,Robin Gosens
1848,Marten de Roon
2120,Giuseppe Pezzella
2271,Duván Zapata
2363,Federico Mattiello
2836,Matteo Pessina
3553,Mario Pašalić
3681,Aleksei Miranchuk
7693,Teun Koopmeiners
7807,Davide Zappacosta
8974,Ruslan Malinovskyi
8975,Joakim Mæhle
37118,Merih Demiral
46554,Juan Musso
102591,Roberto Piccoli
118152,Matteo Lovato
170381,Berat Djimsiti
169310,Cristian Romero
1791,Diego Falcinelli
1797,Łukasz Skorupski
1856,Musa Barrow
1866,Ibrahima Mbaye
1886,Riccardo Orsolini
1887,Kingsley Michael
1955,Emanuel Vignato
2282,Kevin Bonifazi
2292,Lorenzo De Silvestri
2713,Francesco Bardi
2832,Gabriele Corbo
7550,Mitchell Dijks
8223,Marko Arnautovic
8393,Adama Soumaoro
9770,Jerdy Schouten
15354,Mattias Svanberg
15534,Federico Santander
15950,Gary Medel
24236,Andreas Skov Olsen
33116,Roberto Soriano
33129,Nicola Sansone
46346,Nicolás Domínguez
80336,Sydney van Hooijdonk
98275,Gianmarco Cangiano
101111,Aaron Hickey
142265,Luis Binks
111,Diego Godín
1748,Raoul Bellanova
1812,Kevin Strootman
1895,Alessio Cragno
1897,Luca Ceppitelli
1905,Babis Lykogiannis
1907,João Pedro Galvão
1913,Paolo Faragò
1914,Alessandro Deiola
1918,Riccardo Ladinetti
1923,Diego Farias
1925,Leonardo Pavoletti
1928,Damir Ceter
1999,Dalbert Henrique
2059,Martín Cáceres
2098,Marko Rog
2611,Boris Radunović
3168,Nahitan Nández
3637,Keïta Baldé
7444,Gastón Pereiro
9237,Răzvan Marin
28708,Christian Oliva
76118,Giorgio Altare
80481,Simone Aresti
105441,Sebastian Walukiewicz
114052,Gabriele Zappa
137506,Andrea Carboni
170374,Adam Obert
1148,Arthur
1744,Leonardo Bonucci
1751,Manuel Locatelli
1780,Federico Chiesa
1803,Luca Pellegrini
1859,Dejan Kulusevski
1959,Mattia Perin
2022,Wojciech Szczęsny
2023,Carlo Pinsoglio
2025,Giorgio Chiellini
2027,Daniele Rugani
2028,Alex Sandro
2030,Mattia De Sciglio
2037,Juan Cuadrado
2040,Federico Bernardeschi
2041,Rodrigo Bentancur
2046,Paulo Dybala
2171,Moise Kean
3368,Adrien Rabiot
6507,Weston McKennie
7549,Matthijs de Ligt
7791,Aaron Ramsey
7819,Álvaro Morata
7881,Danilo
91310,Kaio Jorge
20,Riza Durmisi
2050,Thomas Strakosha
2052,Ştefan Radu
2055,Jordan Lukaku
2060,Felipe Anderson
2065,Patric
